,text
126,"['never', 'proven', 'like', 'fals', 'thank', 'michael', 'isikoff', 'yahoo', 'honesti', 'mean', 'fisa', 'warrant', 'whole', 'russian', 'witch', 'hunt', 'fraud', 'hoax', 'end', 'immedi', 'also', 'paid', 'crook', 'hillari', 'amp', 'dnc']"
127,"['russia', 'dossier', 'report', 'doubt', 'dopey', 'christoph', 'steel', 'claim', 'get', 'detail', 'steel', 'dossier', 'specif', 'alleg', 'seen', 'evid', 'support', 'good', 'ground', 'think', 'sensat', 'alleg']"
128,"['illeg', 'immigr', 'cost', 'unit', 'state', 'billion', 'dollar', 'year', 'allow', 'happen']"
129,"['facebook', 'twitter', 'googl', 'bias', 'toward', 'dem', 'ridicul', 'twitter', 'fact', 'made', 'much', 'difficult', 'peopl', 'join', 'remov', 'mani', 'name', 'amp', 'greatli', 'slow', 'level', 'speed', 'increas', 'acknowledg', 'done', 'noth']"
130,"['hope', 'peopl', 'fed', 'read', 'today', 'wall', 'street', 'journal', 'editori', 'make', 'yet', 'anoth', 'mistak', 'also', 'let', 'market', 'becom', 'illiquid', 'alreadi', 'stop', 'b', 'feel', 'market', 'go', 'meaningless', 'number', 'good', 'luck']"
131,"['good', 'luck', 'today', 'court', 'gener', 'michael', 'flynn', 'interest', 'see', 'say', 'despit', 'tremend', 'pressur', 'put', 'russian', 'collus', 'great', 'obvious', 'highli', 'success', 'polit', 'campaign', 'collus']"
132,"['biggest', 'outrag', 'yet', 'long', 'wind', 'highli', 'conflict', 'mueller', 'witch', 'hunt', 'fact', 'demand', 'text', 'messag', 'peter', 'strzok', 'fbi', 'lover', 'lisa', 'page', 'purpos', 'amp', 'illeg', 'delet', 'would', 'explain', 'whole', 'hoax', 'protest']"
133,"['today', 'make', 'good', 'promis', 'defend', 'farmer', 'amp', 'rancher', 'unjustifi', 'trade', 'retali', 'foreign', 'nation', 'author', 'secretari', 'perdu', 'implement', 'nd', 'round', 'market', 'facilit', 'payment', 'economi', 'stronger', 'ever', 'stand', 'farmer']"
135,"['anytim', 'hear', 'democrat', 'say', 'good', 'border', 'secur', 'without', 'wall', 'write', 'anoth', 'politician', 'follow', 'parti', 'line', 'time', 'us', 'save', 'billion', 'dollar', 'year', 'time', 'far', 'greater', 'safeti', 'control']"
136,"['incred', 'strong', 'dollar', 'virtual', 'inflat', 'outsid', 'world', 'blow', 'around', 'us', 'pari', 'burn', 'china', 'way', 'fed', 'even', 'consid', 'yet', 'anoth', 'interest', 'rate', 'hike', 'take', 'victori']"
137,"['anytim', 'hear', 'democrat', 'say', 'good', 'boarder', 'secur', 'without', 'wall', 'write', 'anoth', 'politician', 'follow', 'parti', 'line', 'time', 'us', 'save', 'billion', 'dollar', 'year', 'time', 'far', 'greater', 'safeti', 'control']"
138,"['deduct', 'come', 'obamacar', 'high', 'practic', 'even', 'useabl', 'hurt', 'famili', 'badli', 'chanc', 'work', 'democrat', 'deliv', 'great', 'healthcar', 'confirm', 'suprem', 'court', 'decis', 'lead', 'great', 'healthcar', 'result', 'american']"
139,"['russian', 'witch', 'hunt', 'hoax', 'start', 'insur', 'polici', 'long', 'even', 'got', 'elect', 'bad', 'countri', 'entrap', 'peopl', 'misstat', 'lie', 'unrel', 'thing', 'took', 'place', 'mani', 'year', 'ago', 'noth', 'collus', 'democrat', 'scam']"
